time,n1,n4,n31,n54,n105,n114,n163,n188,n215,n229,n288,n296,n332,n342,n410,n415,n429,n458,n469,n495,n506,n516,n519,n549,n613,n636,n644,n679,n722,n726,n740,n752,n769
3000,2.9311305347334837e-06,6.308457393799927e-06,2.7849305581639783e-06,3.3570095325785587e-07,5.363382626910607e-09,1.4480530552418713e-07,1.6285424919715297e-07,1.0022283447597147e-07,1.3388338260256205e-07,3.2841926156379486e-07,4.1469888856227044e-08,7.513037303397141e-08,2.391874431850738e-08,1.8838234439044754e-07,1.4010085678251016e-06,4.958874910698796e-08,1.481456095575595e-07,1.2311792119135134e-07,9.164580205833772e-10,1.0269353367675649e-08,1.466506205360929e-08,3.7659363982811556e-07,2.2539845190294727e-07,8.2845375004581e-09,1.8307986238141893e-08,2.6736802283267025e-07,3.0310234677699555e-07,2.2053188075688013e-07,1.450145248327317e-08,2.998280024257838e-08,1.973607766103669e-08,6.20701072762131e-08,3.106259782725829e-08
3300,3.0683740028791817e-06,5.7699170596947624e-06,5.2964531249699576e-06,1.8081794905810966e-07,4.094289351996849e-09,1.2108432656532386e-07,1.570803931372211e-07,5.8095977806260635e-08,1.1344981487582118e-07,2.619092072109197e-07,3.893557476430942e-08,8.170006537966401e-08,3.9473491142416606e-09,7.590708150928549e-08,4.175016883323224e-07,5.957711124437992e-08,9.702104364350816e-08,8.151342001383455e-08,1.8722019490269304e-09,3.2741311883910384e-09,1.7797546547626553e-08,3.6079433129998506e-07,3.221669331310295e-07,9.728256600283203e-08,1.067082422423482e-08,2.576893365358046e-07,7.674420743342125e-08,2.903912701412992e-07,1.309508235181056e-08,2.3495594803080166e-08,1.8275706281656312e-08,6.085686266033008e-08,2.943606602912041e-08
3600,2.9914514492190847e-06,4.716950506633566e-06,7.757203583480532e-06,2.681301225493371e-08,2.506965302018216e-09,8.561620035152373e-08,1.4275622817194744e-07,6.8339289782670676e-09,8.539991114275836e-08,1.7302406263297598e-07,3.3044962322037463e-08,8.240075288767912e-08,1.9068316703396704e-08,5.531764202260092e-08,1.0754452475225662e-06,1.7819933617602146e-07,2.3558811790280743e-08,2.4283764332722058e-08,4.694094002388738e-09,4.844302736728423e-09,2.0254432797628397e-08,3.196466806798526e-07,4.2741230288356746e-07,1.8899501696978405e-07,4.1883495782713e-08,2.3722999742403772e-07,2.0795879862589572e-07,3.4621956501723616e-07,1.0443777398450038e-08,1.2965543305654137e-08,1.5256610197411646e-08,5.630965205227767e-08,2.5088176869303425e-08
3900,2.796638785440564e-06,3.365332126747944e-06,1.023418801793241e-05,2.8323621137360533e-07,8.201865853152412e-10,4.1518994464695425e-08,1.3240356366850392e-07,5.919693535361148e-08,5.344991649280928e-08,7.128273438183896e-08,2.430647327855695e-08,7.719979322473591e-08,4.342962967029962e-08,1.9539525908385258e-07,3.2076035481054532e-06,2.956751998794971e-07,7.209764874005486e-08,4.5490899935884954e-08,7.24478610436563e-09,1.341427946499607e-08,2.2046435788070085e-08,2.5901238132064464e-07,5.452441769193683e-07,2.783990851185081e-07,6.892457804497099e-08,2.1172461117657804e-07,5.482052003458193e-07,3.7943973296705735e-07,6.782869377275347e-09,1.7187176126753911e-09,1.101273738868258e-08,4.997900759917684e-08,1.838986207758353e-08
4200,3.7104675776333806e-06,4.056374272920493e-06,1.4744987559822675e-05,4.386211358564651e-07,1.2408705174493662e-09,6.57026077988121e-09,1.0173176434591369e-07,7.395384216124512e-08,2.567398382780084e-08,8.329600120760006e-09,1.6845497441408952e-08,7.000247137511906e-08,5.846947459531293e-08,2.7003738267694644e-07,3.754330869298883e-06,3.743474223938392e-07,1.2783248592995733e-07,7.480139174731448e-08,9.822286983762751e-09,1.9139214657570847e-08,2.1011452133734565e-08,1.9232597026075382e-07,5.930750930360773e-07,3.088081683699784e-07,9.73138583049149e-08,1.8386663214187138e-07,7.269932424947001e-07,3.7102439875980053e-07,3.78566511471945e-09,1.101957991522795e-08,7.527901857429242e-09,4.1037132803012355e-08,1.2484427713843615e-08
4500,7.210386076650366e-06,9.64939525971431e-06,2.3608446078071665e-05,2.9576143134590893e-07,4.246835771937185e-09,1.0952774687211786e-08,8.061611822540726e-09,7.806596613590955e-08,1.7446865285819513e-08,1.1825292745015759e-08,2.016136591009854e-08,7.849978800322788e-08,5.412493919720873e-08,2.0218952556660952e-07,5.729663925535533e-07,4.0468326290010737e-07,5.389566126723366e-08,1.7859356660210324e-08,1.423612872031299e-08,1.9044797738843044e-08,1.6537050839815493e-08,1.6909240940776726e-07,5.28151829826129e-07,2.3031167017961707e-07,1.5661652952303484e-07,1.832301563808869e-07,4.7515996470792743e-07,3.489573572323934e-07,4.920813978515071e-09,4.951488108417834e-10,9.211454710111866e-09,3.275959414850149e-08,1.5335459124798945e-08
4800,1.1170334271781712e-05,1.6299551781173705e-05,3.271755503675422e-05,6.135795160844282e-08,7.539092905517464e-09,3.03156539871452e-08,1.0502107272714056e-07,2.9525676126240796e-07,2.0141769141446275e-08,1.8388014666470553e-08,2.8571172094871145e-08,9.622001329034902e-08,4.3787522940874624e-08,8.741590562522106e-08,6.532100577771871e-06,4.2695663893255187e-07,6.206998648394801e-08,1.5510793360817843e-07,1.962749252015783e-08,1.7139413444056117e-08,1.164195140290758e-08,1.72997715708334e-07,4.459365143816285e-07,1.1680933909019586e-07,2.312312545882378e-07,2.0814452739159606e-07,8.969619358367709e-08,3.305779614493076e-07,7.988496975031012e-09,1.9627123037935235e-08,1.3637141194067226e-08,2.6911067152468604e-08,2.2367075303009187e-08
5100,1.33358198191047e-05,2.0020076171078927e-05,3.745926229470342e-05,9.031850822793785e-08,1.0742958522769186e-08,4.565858802152434e-08,2.0930441735345084e-07,4.981535823844752e-07,2.728969406007309e-08,4.671636588682304e-08,3.850738750088567e-08,1.2293615725411655e-07,4.126144403926446e-08,1.3287824174312846e-08,1.1431142318940601e-05,4.951628085336779e-07,1.4920852464683776e-07,2.7093276599998717e-07,2.5978827977723995e-08,1.7724346434988547e-08,9.794902666726557e-09,2.0148407031683746e-07,4.443792391839452e-07,4.087529248408828e-08,3.1544543332984176e-07,2.6102613048806234e-07,1.652372674243452e-07,3.6104484024690464e-07,1.1586628545501299e-08,3.675516779821919e-08,1.9450240529295115e-08,2.5897250566231378e-08,3.092705469498469e-08
5400,1.207276409687097e-05,1.764981032437163e-05,3.5265118846439236e-05,6.770811467049498e-09,1.2081180500445043e-08,1.4532830050484336e-08,2.6452909906993227e-07,4.953295587029061e-07,2.8520261707853933e-09,1.7536898155867675e-08,2.826809719636003e-08,1.0450288101537808e-07,4.752440929678414e-08,3.591290465010388e-08,1.085935731026666e-05,5.128894073891388e-07,1.0717344878230506e-07,2.3303380913830551e-07,2.6327519719870907e-08,2.043613278601697e-08,6.381682737810479e-09,1.2120563752660019e-07,3.941192616707667e-07,1.806127158943127e-08,3.241927686303825e-07,2.166423769267567e-07,8.822086527970896e-08,3.153359600105432e-07,8.061952883053891e-09,2.9086315578297217e-08,1.5135363184981543e-08,1.1156103596476896e-08,2.2652905329323403e-08
5700,7.825142052553247e-06,1.0017257373817756e-05,2.6919664357194506e-05,3.08558398387504e-07,1.1251898968112073e-08,5.968447425175327e-08,2.49897219362083e-07,2.6914480599771196e-07,5.079120057871478e-08,1.630477868275193e-07,2.928800313384272e-09,3.67998609362985e-08,5.713538087093184e-08,1.1988596781975502e-07,4.983252971157981e-06,4.457276361335971e-07,5.09811712845476e-08,5.1106852083648846e-08,1.9694915920354106e-08,2.3371654833681532e-08,2.994937631228822e-11,7.477394348143207e-08,2.652391017932132e-07,2.4824416300361918e-08,2.375384724473406e-07,6.20105637949564e-08,2.653139148378614e-07,1.6205422070925124e-07,2.637818852235796e-09,2.4887540917006845e-09,3.3283953371210373e-10,1.873603849844585e-08,3.143426852147968e-09
